,0
0," Analytics has increasingly become a major focus for Apache Solr , the primary search engine in the Hadoop stack"
1," Yonik Seeley explores recent Apache Solr features in the areas of faceting and analytics , including parallel SQL , streaming expressions , distributed join , and distributed graph queries"
2," Given the increasing number of APIs and techniques that can be brought to bear , Yonik also covers the trade-offs of different approaches and strategies for maximizing scalability ."
3," Project Jupyter provides building blocks for interactive and exploratory computing that make science and data science reproducible across over 40 programming languages ( Python , Julia , R , etc . )"
4," Central to the project is the Jupyter Notebook , a web-based , interactive computing platform that allows users to author data- and code-driven narratives ( computational narratives ) that combine live code , equations , narrative text , visualizations , interactive dashboards , and other media"
5," While the Jupyter Notebook has proved to be an incredibly productive way of working interactively with code and data , it is helpful to decompose notebooks into more primitive building blocks : kernels for code execution , input areas for typing code , markdown cells for composing narrative content , output areas for showing results , terminals , etc ."
6, CartoDB has enabled hundreds of thousands of users to visualize their data as beautiful maps to gain insights and share stories
7," However , these maps contain information that often can’t be uncovered by visualization alone"
8," By applying geospatial statistical methods and machine learning , new stories and understanding can be extracted and predictions can be made ."
9," In pursuit of speed and efficiency , big data processing is continuing its logical evolution toward columnar execution"
10," A number of key big data technologies , including Kudu , Ibis , and Drill , have or will soon have in-memory columnar capabilities"
11, The solid foundation laid by Apache Arrow and Apache Parquet for a shared columnar representation across the ecosystem promises a great future
12, Modern CPUs achieve higher throughput using SIMD instructions and vectorization on Arrow’s columnar in-memory representation
13," Similarly , Parquet provides storage and I/O optimized columnar data access using statistics and appropriate encodings"
14," For interoperability , row-based encodings ( CSV , Thrift , Avro ) combined with general-purpose compression algorithms ( GZip , LZO , Snappy ) are common but inefficient"
15, The Arrow and Parquet projects define standard columnar representations allowing interoperability without the usual cost of serialization .
16, Yahoo initially built Hadoop as an answer to a very acute pain around efficiently storing and processing large volumes of data
17," Since Yahoo open sourced Hadoop , it has become widely adopted in the technology world"
18," However , time has taught us that when a system becomes extremely popular for solving one class of problems , its limitations in solving other problems become more apparent"
19, Himanshu Gupta explains why Yahoo has been increasingly investing in interactive analytics and how it leverages Druid to power a variety of internal- and external-facing data applications .
20," The Netflix data platform is constantly evolving , but fundamentally it’s an all-cloud platform at a massive scale ( 40+ PB and over 700 billion new events per day ) focused on empowering developers"
21, Kurt Brown dives into the current technology landscape at Netflix and offers some thoughts on what the future holds .
22," Whether we’re talking about spam emails , merging records , or investigating clusters , there are many times when having a measure of how alike things are makes them easier to work with"
23," You may have unstructured or vague data that isn’t incorporated into your data models ( e.g. , information from subject-matter experts who have a sense of whether something is good or bad , similar or different )"
